x	y	z	
2.365867535588157722e+01 -1.892152394749704092e+00 1.540929119200345099e+01
2.359890391511587637e+01 -2.047697119366959306e+00 1.503044282518437669e+01
2.352931983754530521e+01 -2.215112329449338002e+00 1.466509197409278897e+01
2.344966839164824179e+01 -2.395911383104551540e+00 1.431352054761013726e+01
2.335963830391884954e+01 -2.591758877059899380e+00 1.397610986183491377e+01
2.325885860714405595e+01 -2.804467553257932178e+00 1.365334446318096795e+01
2.314662091144651157e+01 -3.035755161983303196e+00 1.334601498745001891e+01
2.302206721299721792e+01 -3.287503353486230573e+00 1.305478358824622909e+01
2.288433226216582739e+01 -3.561841332914323477e+00 1.278046277901285244e+01
2.273242331099857338e+01 -3.861012305674932144e+00 1.252425419331133405e+01
2.256522011321862209e+01 -4.187373477434435110e+00 1.228774858482179511e+01
2.238147492422542939e+01 -4.543396054119512861e+00 1.207292582734195108e+01
2.217981250109516367e+01 -4.931665241916316944e+00 1.188215491478784180e+01
2.195873010258044999e+01 -5.354880247270987326e+00 1.171819396119354550e+01
2.171659748911098831e+01 -5.815854276888426710e+00 1.158419020071161931e+01
2.145182352496351186e+01 -6.315844562596462097e+00 1.148411896727229653e+01
2.116268008161243941e+01 -6.855709800314778057e+00 1.142297732767899454e+01
2.084681237182538638e+01 -7.441757792338377975e+00 1.140547639344509712e+01
2.050205990002029210e+01 -8.078683283061289799e+00 1.143755232024703616e+01
2.012649169464746635e+01 -8.769240817889023987e+00 1.152644155365687340e+01
1.971840630818907414e+01 -9.514244743239483881e+00 1.168068082914236783e+01
1.927633181716032951e+01 -1.031256920654081810e+01 1.191010717206649794e+01
1.879902582210775108e+01 -1.116114815623459222e+01 1.222585789768810827e+01
1.828547544760993304e+01 -1.205497534177435526e+01 1.264037061116185434e+01
1.773489734227872106e+01 -1.298710431362358619e+01 1.316738320753704983e+01
1.714673767875705934e+01 -1.394864842325950249e+01 1.382193387175940735e+01
1.652067549952155190e+01 -1.492878335095410414e+01 1.462035182522834198e+01
1.586036059955287314e+01 -1.591468252796621030e+01 1.557207512737393174e+01
1.517082696725617907e+01 -1.688067185818238514e+01 1.669157543051404247e+01
1.445701183421751423e+01 -1.779386682040816225e+01 1.799427970206878769e+01
1.372703781656506017e+01 -1.861898954353480917e+01 1.948532481701068519e+01
1.299221291496814779e+01 -1.931836880654044819e+01 2.115955755786656312e+01
1.226703051463936767e+01 -1.985194003848818056e+01 2.300153461471262517e+01
1.156916938533140637e+01 -2.017724531852909209e+01 2.498552258518164138e+01
1.091949368133871268e+01 -2.024943337590009662e+01 2.707549797445978612e+01
1.033905483219710497e+01 -2.002258041658521392e+01 2.922834334750326946e+01
9.848327797928414284e+00 -1.947474371742685406e+01 3.137807335585939228e+01
9.473228438363010540e+00 -1.861087130347254259e+01 3.343776701720807409e+01
9.233904572251084630e+00 -1.744825853586658582e+01 3.533174587966198743e+01
9.144281007761589919e+00 -1.601624269168129899e+01 3.699650976383865242e+01
9.212059542481187080e+00 -1.435620296391201833e+01 3.838073676286852987e+01
9.438718963415267282e+00 -1.252156046147886670e+01 3.944528324239015404e+01
9.822027052790701873e+00 -1.058673429729238435e+01 4.015954365238776091e+01
1.035381002273249251e+01 -8.646693961826253272e+00 4.051801680287637453e+01
1.101541114291483581e+01 -6.772655459951266721e+00 4.054610894567273505e+01
1.178604878094531827e+01 -5.021476638415348859e+00 4.027766788206622550e+01
1.264302023836671651e+01 -3.436151058280701776e+00 3.975452776915212638e+01
